id,text,sentiment,category,urgency,recommended_team,destination,queue,priority_score,reasoning,similar_1,similar_2,similar_3
14,Documentation is outdated. API endpoints in the docs return 404 errors. Wasted my afternoon.,negative,bug,high,engineering,engineering,P1,7,"The user is reporting broken API endpoints in the documentation, which is a technical failure that prevents them from using the product.",[synthetic] (dist: -0.000) Documentation is outdated. API endpoints in the docs return 404 errors. Wasted my afternoon.,[synthetic] (dist: 0.270) Server downtime yesterday for 4 hours during business hours. We lost client meetings because of it.,[synthetic] (dist: 0.273) The new pricing is way too expensive. Lost two team members because of it. Reconsidering our subscription.
15,Want a calendar view for my projects not just list view. Would help with planning.,neutral,feature_request,low,product,product,backlog,3,"The user is requesting a new calendar view functionality to improve their planning workflow, which is a clear feature request.",[synthetic] (dist: -0.000) Want a calendar view for my projects not just list view. Would help with planning.,[synthetic] (dist: 0.292) Please add keyboard shortcuts. Power users need them to work fast.,[synthetic] (dist: 0.314) An integration with Slack would make this 10x more useful for my team. Please prioritize it.
16,Charged twice for the same subscription this month. Card statement screenshot attached. Need fix.,negative,billing,high,billing,billing,refunds,7,"The customer reports a duplicate charge for their subscription, which is a financial error requiring immediate correction.",[synthetic] (dist: 0.000) Charged twice for the same subscription this month. Card statement screenshot attached. Need fix.,[synthetic] (dist: 0.253) Payment failed thrice in checkout but money was deducted three times. Need refund ASAP. Order ID 45123.,[synthetic] (dist: 0.362) The new pricing is way too expensive. Lost two team members because of it. Reconsidering our subscription.
17,Onboarding flow is confusing. Took me 30 minutes to figure out how to create my first project.,negative,complaint,medium,product,support,normal,5,"The user is expressing frustration with the onboarding user experience, which is a product design issue.",[synthetic] (dist: 0.000) Onboarding flow is confusing. Took me 30 minutes to figure out how to create my first project.,[synthetic] (dist: 0.254) Refund process took 3 weeks. That is way too long for a SaaS company in 2026.,[synthetic] (dist: 0.280) Documentation is outdated. API endpoints in the docs return 404 errors. Wasted my afternoon.
18,Brilliant product. Switching from Notion was the best decision for our team. Keep shipping.,positive,praise,low,marketing,marketing,wins_board,3,The customer expresses high satisfaction and explicitly praises the product as a superior alternative to a competitor.,[synthetic] (dist: -0.000) Brilliant product. Switching from Notion was the best decision for our team. Keep shipping.,"[synthetic] (dist: 0.223) Love the new UI redesign, clean and modern. Team productivity has gone up noticeably.",[synthetic] (dist: 0.240) Just discovered the API. Built a custom integration in an afternoon. Really well-designed endpoints.
19,Can the AI assistant remember context across sessions? Right now I have to re-explain every time.,negative,feature_request,medium,product,product,backlog,5,The user is requesting a new capability for cross-session memory to resolve the frustration of having to repeat information.,[synthetic] (dist: -0.000) Can the AI assistant remember context across sessions? Right now I have to re-explain every time.,[synthetic] (dist: 0.374) The mobile app keeps logging me out randomly. Have to re-enter password 5 times a day.,[synthetic] (dist: 0.380) Can you add multi-language support? Specifically Hindi and Spanish would help a lot in our market.
20,Server downtime yesterday for 4 hours during business hours. We lost client meetings because of it.,negative,complaint,critical,engineering,support,priority,10,"The customer experienced a significant service outage during business hours that resulted in lost business, indicating a critical system failure.",[synthetic] (dist: 0.000) Server downtime yesterday for 4 hours during business hours. We lost client meetings because of it.,[synthetic] (dist: 0.250) The new pricing is way too expensive. Lost two team members because of it. Reconsidering our subscription.,[synthetic] (dist: 0.270) Documentation is outdated. API endpoints in the docs return 404 errors. Wasted my afternoon.
21,Please add keyboard shortcuts. Power users need them to work fast.,neutral,feature_request,medium,product,product,backlog,5,The user is requesting a new functionality (keyboard shortcuts) to improve efficiency for power users.,[synthetic] (dist: 0.000) Please add keyboard shortcuts. Power users need them to work fast.,[synthetic] (dist: 0.244) An integration with Slack would make this 10x more useful for my team. Please prioritize it.,[synthetic] (dist: 0.283) Can you add multi-language support? Specifically Hindi and Spanish would help a lot in our market.
22,The web app is broken on Firefox v123. Buttons do not render. Had to switch to Chrome.,negative,bug,high,engineering,engineering,P1,7,"The user reports a specific technical failure where buttons do not render on Firefox v123, indicating a browser-specific bug that prevents app usage.",[synthetic] (dist: 0.000) The web app is broken on Firefox v123. Buttons do not render. Had to switch to Chrome.,[synthetic] (dist: 0.256) The export to CSV button does not work in Safari. Have to use Chrome every time. Annoying.,[synthetic] (dist: 0.314) I love that I hate this app. Cannot stop using it but it frustrates me daily.
23,Just discovered the API. Built a custom integration in an afternoon. Really well-designed endpoints.,positive,praise,low,engineering,marketing,wins_board,3,The customer is expressing high satisfaction with the API's design and the ease of building a custom integration.,[synthetic] (dist: 0.000) Just discovered the API. Built a custom integration in an afternoon. Really well-designed endpoints.,[synthetic] (dist: 0.240) Brilliant product. Switching from Notion was the best decision for our team. Keep shipping.,"[synthetic] (dist: 0.247) Love the new UI redesign, clean and modern. Team productivity has gone up noticeably."
24,Refund process took 3 weeks. That is way too long for a SaaS company in 2026.,negative,billing,high,billing,billing,refunds,7,"The customer is expressing frustration over the excessive time taken to process a refund, which is a financial and billing operation issue.",[synthetic] (dist: -0.000) Refund process took 3 weeks. That is way too long for a SaaS company in 2026.,[synthetic] (dist: 0.254) Onboarding flow is confusing. Took me 30 minutes to figure out how to create my first project.,[synthetic] (dist: 0.264) Why is the loading so slow? Spent 30 seconds waiting for a simple page to render.
25,Your competitor offers the same features at half the price. Why should I stay with you?,negative,billing,high,billing,billing,refunds,7,"The customer is expressing dissatisfaction with the pricing relative to a competitor, indicating a high risk of churn.",[synthetic] (dist: 0.000) Your competitor offers the same features at half the price. Why should I stay with you?,[synthetic] (dist: 0.314) The new pricing is way too expensive. Lost two team members because of it. Reconsidering our subscription.,[synthetic] (dist: 0.349) Server downtime yesterday for 4 hours during business hours. We lost client meetings because of it.
26,Email notifications come 2 hours late. What is the point if I miss the meeting they reference?,negative,bug,high,engineering,engineering,P1,7,"The user is reporting a functional failure where notifications are delayed by two hours, causing them to miss meetings.",[synthetic] (dist: 0.000) Email notifications come 2 hours late. What is the point if I miss the meeting they reference?,[synthetic] (dist: 0.306) Server downtime yesterday for 4 hours during business hours. We lost client meetings because of it.,[synthetic] (dist: 0.324) Why is the loading so slow? Spent 30 seconds waiting for a simple page to render.
27,"Win, switched our entire 50-person team to your platform last month. Zero issues so far.",positive,praise,low,marketing,marketing,wins_board,3,"The customer is reporting a successful migration of a large team with no issues, which serves as a strong positive testimonial.","[synthetic] (dist: -0.000) Win, switched our entire 50-person team to your platform last month. Zero issues so far.","[synthetic] (dist: 0.247) Love the new UI redesign, clean and modern. Team productivity has gone up noticeably.",[synthetic] (dist: 0.253) Brilliant product. Switching from Notion was the best decision for our team. Keep shipping.
28,Hi I think your product is good but also bad sometimes I am not sure how to say it.,mixed,other,low,product,product,backlog,3,"The customer expresses both positive and negative views without providing specific details, indicating a mixed sentiment and low urgency.",[synthetic] (dist: -0.000) Hi I think your product is good but also bad sometimes I am not sure how to say it.,[amazon] (dist: 0.303) not what I was expecting in terms of the company's reputation for excellent home delivery products,"[amazon] (dist: 0.313) I am a energy junkie and I'm not sure if this works or not, but what I do know is that the taste is not the greatest. I do drink the steaz energy drink and I think I get the same results. I like this products because it is  more natural then the others."
29,I love that I hate this app. Cannot stop using it but it frustrates me daily.,mixed,complaint,low,product,support,normal,3,"The user expresses contradictory emotions of love and hate, indicating a mixed sentiment and general frustration with the overall user experience.",[synthetic] (dist: 0.000) I love that I hate this app. Cannot stop using it but it frustrates me daily.,[synthetic] (dist: 0.289) The mobile app keeps logging me out randomly. Have to re-enter password 5 times a day.,[synthetic] (dist: 0.306) The export to CSV button does not work in Safari. Have to use Chrome every time. Annoying.
30,Buy crypto now! Hot stock tips. Click here for guaranteed returns at scammy-site-example dot com,neutral,spam,low,trash,trash,trash,0,The feedback is a promotional scam message regarding cryptocurrency and contains no legitimate product feedback.,[synthetic] (dist: 0.000) Buy crypto now! Hot stock tips. Click here for guaranteed returns at scammy-site-example dot com,[synthetic] (dist: 0.413) The search function returns irrelevant results. Searching for invoice shows me random PDFs.,"[synthetic] (dist: 0.415) Win, switched our entire 50-person team to your platform last month. Zero issues so far."
